,Team,City,Country,Stadium,Capacity,Pitch
242,Amiens SC,Amiens,France,Stade de la Licorne,12097,Natural
243,Charleville,Charleville-M�zi�res,France,,3000,
244,Épinal,Épinal,France,Stade de La Colombière,7200,
245,Stade Poitevin,Poitiers,France,Stade de la Pépinière,15750,Grass
246,Stade Lavallois,Laval,France,Stade Francis Le Basser,18467,Natural
247,Perpignan,Perpignan,France,,3400,
248,Dunkerque,Dunkerque,France,Stade Marcel-Tribut,4200,Natural
249,Valence,Valence,France,,15128,Grass
250,Red Star,París,France,Stade Bauer,10000,
251,Louhans Cuiseaux,Louhans,France,Parc des Sports du Bram,8400,
252,Olympique Alès,Ales,France,Stade Pierre Pibarot,9000,Grass
253,Niort,Niort,France,Stade René Gaillard,10898,Natural
254,Stade Briochin,Saint-Brieuc,France,Stade Fred Aubert,13500,Natural grass
255,Beauvais Oise,Beauvais,France,Stade Pierre-Brisson,10000,
256,ES Wasquehal,Wasquehal,France,Complexe Sportif Lucien Montagne,500,
257,Creteil,rue vasco de gama,France,Stade Dominique Duvauchelle,12050,Natural
258,Clermont,Clermont-Ferrand,France,Stade Gabriel Montpied,10363,Natural
259,Besancon RC,Besançon,France,Stade Léo-Lagrange,15000,Grass
260,FC Rouen 1899,Rouen,France,,"12,018",Grass
261,Sète,Sète,France,Stade Louis-Michel,8700,
262,Libourne Saint Se.,Libourne,France,,8000,
263,Tours,Tours,France,Stade de la Vallée du Cher,11912,Natural
264,Vannes,Vannes,France,Stade de la Rabine,9143,Natural
265,CA Bastia,Furiani,France,,"16,048",Grass
266,Orléans,Orléans,France,Stade de la Source,5000,Natural
267,Paris FC,Paris,France,Stade Sébastien Charléty,20000,Natural
268,Bourg-Péronnas,Ain,France,Stade Muncipal de Péronnas,2541,Natural
269,Quevilly,Normandia,France,Stade Robert-Diochon,12018,
270,Béziers,Béziers,France,Stade de Sauclières,12000,
271,Rodez,Rodez,France,Stade Paul-Lignon,6000,
272,Chambly,Chambly,France,Stade des Marais,1000,
273,Pau FC,Pau,France,Stade du Hameau,13966,
274,Man. Utd,Mánchester,England,Old Trafford,76212,Natural
275,Liverpool,Liverpool,England,Anfield,54074,Natural
276,Tottenham Hotspur,Londres,England,Tottenham Hotspur Stadium,62062,Natural
277,Chelsea,Londres,England,Stamford Bridge,41841,Natural
278,Aston Villa,Birmingham,England,Villa Park,42788,Natural
279,Southampton,Southampton,England,St. Mary's Stadium,32689,Natural
280,Everton,Liverpool,England,Goodison Park,40569,Natural
281,Arsenal,Londres,England,Emirates Stadium,60355,Natural
282,Blackpool,Blackpool,England,Bloomfield Road,17625,Natural
283,Sporting Braga,Braga,Portugal,Estádio Municipal de Braga,30286,Natural
284,Benfica,Lisboa,Portugal,Estádio da Luz,65647,Natural
285,Porto,Oporto,Portugal,Estádio Do Dragão,50948,Natural
286,Sporting CP,Lisboa,Portugal,José Alvalade,50486,Natural
287,Chaves,Chaves,Portugal,Estádio Municipal Eng. Manuel Branco Teixeira,12000,Natural
288,Feirense,Santa Maria da Feira,Portugal,Estádio Marcolino de Castro,4667,Natural
289,Belenenses,Lisboa,Portugal,Estádio do Restelo,32500,Natural
290,Beira Mar SC,Aveiro,Portugal,Municipal de Aveiro,30000,
